path,variant,seed_label,log_index,loss,grad_norm,learning_rate,entropy,num_tokens,mean_token_accuracy,epoch
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,1,4.745,6.488,4.286e-05,0.5307,6323.0,0.5809,0.04374
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,2,1.039,1.297,9.048e-05,0.807,12670.0,0.7983,0.08748
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,3,0.5431,0.9447,9.996e-05,0.5206,18990.0,0.8835,0.1312
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,4,0.442,0.915,9.982e-05,0.4543,25380.0,0.9012,0.175
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,5,0.4443,0.6873,9.956e-05,0.3894,31740.0,0.9153,0.2187
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,6,0.4519,0.9756,9.92e-05,0.4085,38000.0,0.899,0.2624
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,7,0.4159,0.9033,9.872e-05,0.4143,44350.0,0.9103,0.3062
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,8,0.3884,0.6416,9.814e-05,0.3607,50740.0,0.9141,0.3499
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,9,0.4331,0.5318,9.745e-05,0.3715,57170.0,0.919,0.3937
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,10,0.3541,0.4762,9.665e-05,0.402,63650.0,0.9203,0.4374
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,11,0.2978,0.7496,9.575e-05,0.2636,70020.0,0.9333,0.4811
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,12,0.4129,0.4848,9.475e-05,0.317,76450.0,0.9134,0.5249
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,13,0.3294,0.5346,9.365e-05,0.3371,82780.0,0.9199,0.5686
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,14,0.474,0.5303,9.245e-05,0.4273,89180.0,0.9169,0.6124
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,15,0.3313,0.4398,9.116e-05,0.3055,95500.0,0.9234,0.6561
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,16,0.3349,0.6786,8.978e-05,0.2802,101900.0,0.9268,0.6998
